City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Puerto Ayora,EC,-0.7393,-90.3518,67.55,89,36,4.0,scattered clouds
140,Van,TR,38.4924,43.3831,74.55,50,20,8.05,few clouds
141,Teguldet,RU,57.3064,88.1667,47.75,73,21,1.36,few clouds
142,Paamiut,GL,61.994,-49.6678,46.45,83,100,8.52,overcast clouds
143,Fortuna,US,40.5982,-124.1573,54.99,88,100,4.59,light rain
144,Nassau,US,40.7507,-73.5829,73.78,79,0,12.66,clear sky
145,Luderitz,NA,-26.6481,15.1594,62.17,63,0,30.71,clear sky
146,Asfi,MA,32.2994,-9.2372,72.66,74,20,10.92,few clouds
147,Saint George,US,37.1041,-113.5841,70.25,48,0,12.66,clear sky
148,Torrington,US,41.8007,-73.1212,68.61,90,100,3.0,overcast clouds
149,Zambezi,ZM,-13.5432,23.1047,97.16,14,92,4.32,overcast clouds
150,Los Llanos De Aridane,ES,28.6585,-17.9182,75.13,84,75,8.99,broken clouds
151,Tiksi,RU,71.6872,128.8694,33.03,72,94,3.04,overcast clouds
152,Pisco,PE,-13.7,-76.2167,62.02,88,100,3.44,mist
153,Pakala,IN,13.4667,79.1167,88.21,54,100,4.5,overcast clouds
154,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,87,100,11.5,overcast clouds
155,Husavik,IS,66.0449,-17.3389,50.9,65,88,2.44,overcast clouds
156,Dukat,RU,62.55,155.55,30.65,68,91,4.23,overcast clouds
157,Labuan,MY,5.2767,115.2417,80.96,89,20,0.0,light rain
158,Provideniya,RU,64.3833,-173.3,43.02,88,100,6.38,overcast clouds
159,Lorengau,PG,-2.0226,147.2712,81.79,75,100,5.1,overcast clouds
160,Victoria,HK,22.2855,114.1577,86.38,78,61,5.01,broken clouds
161,Magistralnyy,RU,56.1725,107.4458,35.71,70,16,2.1,few clouds
162,Houma,US,29.5958,-90.7195,81.0,95,0,4.61,clear sky
163,Vanderhoof,CA,54.0166,-124.0198,38.21,93,100,0.92,overcast clouds
164,Melilla,ES,35.2937,-2.9383,82.6,83,75,11.5,broken clouds
165,Capreol,CA,46.706,-80.9225,65.55,100,100,4.61,mist
166,Hasaki,JP,35.7333,140.8333,79.29,88,100,21.47,overcast clouds
167,Codrington,AU,-38.2667,141.9667,47.01,80,7,16.04,clear sky
168,Jumilla,ES,38.4792,-1.325,75.52,62,99,10.42,overcast clouds
169,Vardo,NO,70.3705,31.1107,46.38,100,100,13.8,light intensity drizzle
