City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
78,Mahebourg,MU,73.69,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
81,Traverse City,US,70.99,clear sky,44.7631,-85.6206,Bayshore Resort
82,Tutoia,BR,83.17,overcast clouds,-2.7619,-42.2744,Pousada Guará's
88,Panaba,MX,78.33,scattered clouds,21.2833,-88.2667,Hotel Don Fernando
90,Mao,ES,77.56,few clouds,39.8885,4.2658,ARTIEM Capri
91,Richards Bay,ZA,75.74,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
94,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
95,Vila Franca Do Campo,PT,79.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
97,Kununurra,AU,80.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
98,Touros,BR,83.21,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
100,Bengkulu,ID,76.57,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
102,Nantucket,US,74.08,clear sky,41.2835,-70.0995,Jared Coffin House
104,Moanda,GA,82.8,moderate rain,-1.5575,13.2178,Heliconia Stadium Moanda
116,Vao,NC,72.77,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
117,Hithadhoo,MV,82.72,overcast clouds,-0.6,73.0833,Scoop Guest House
124,Gombong,ID,77.7,broken clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
126,Evanston,US,72.05,broken clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
127,Kavieng,PG,81.97,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
128,Patrocinio,BR,72.75,clear sky,-18.9439,-46.9925,Guines Palace Hotel 34-99816-3311
129,Alta Floresta,BR,82.22,smoke,-9.8756,-56.0861,Floresta Amazonica Hotel
135,Qostanay,KZ,75.49,clear sky,53.1667,63.5833,Hotel Fessla
137,Kapaa,US,77.32,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
138,Qesarya,IL,84.96,clear sky,32.5189,34.9046,Dan Caesarea Resort - Happiness Is Around
140,Van,TR,74.55,few clouds,38.4924,43.3831,Elite World Van Hotel
144,Nassau,US,73.78,clear sky,40.7507,-73.5829,Hilton Garden Inn Westbury
146,Asfi,MA,72.66,few clouds,32.2994,-9.2372,Hôtel Abda
147,Saint George,US,70.25,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
150,Los Llanos De Aridane,ES,75.13,broken clouds,28.6585,-17.9182,Valle Aridane
157,Labuan,MY,80.96,light rain,5.2767,115.2417,Tiara Labuan Hotel
159,Lorengau,PG,81.79,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
162,Houma,US,81.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
164,Melilla,ES,82.6,broken clouds,35.2937,-2.9383,Hotel Anfora
166,Hasaki,JP,79.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
168,Jumilla,ES,75.52,overcast clouds,38.4792,-1.325,Hotel Monreal
170,Tautira,PF,77.16,scattered clouds,-17.7333,-149.15,Pension Oaoa
171,Yinchuan,CN,78.91,overcast clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
175,Carutapera,BR,84.56,broken clouds,-1.195,-46.02,Lidera
176,Lagoa,PT,73.38,clear sky,39.05,-27.9833,Casa Das Faias
177,Sambava,MG,75.9,clear sky,-14.2667,50.1667,Melrose
178,Sao Joao Da Barra,BR,71.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
179,Katsuura,JP,79.84,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
188,Acapulco,MX,75.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
189,Gudibanda,IN,77.23,overcast clouds,13.6694,77.6983,Mavinachiguru farm stay
192,Namibe,AO,74.03,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
195,Gigmoto,PH,81.25,overcast clouds,13.7796,124.39,Cj's Travellers Inn
197,Kavaratti,IN,81.61,overcast clouds,10.5669,72.642,Green leaf
199,Tagusao,PH,80.56,overcast clouds,9.1924,117.8141,Caycay future beach resort
206,Kankon,IN,78.91,few clouds,15.0167,74.0167,Palolem Beach Resort
207,Otradnyy,RU,76.03,broken clouds,53.376,51.3452,Sanatorium Neftyanik
208,Potam,MX,80.01,clear sky,27.6,-110.3833,Ejido La Pimienta
210,Honiara,SB,78.19,overcast clouds,-9.4333,159.95,Heritage Park Hotel
214,Lugovoy,KZ,76.39,broken clouds,42.9472,72.7644,Ж.Д Вокзал Луговая
215,Mednogorsk,RU,73.6,scattered clouds,51.4128,57.595,"Hotel ""Central"""
218,Komsomolskiy,UZ,83.12,clear sky,40.4272,71.7189,Ikathouse
219,Harrison,US,78.87,clear sky,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
222,Quzhou,CN,74.34,clear sky,28.9594,118.8686,Quzhou Jiujiu Business Hotel
223,Ponta Do Sol,PT,79.72,light rain,32.6667,-17.1,Hotel do Campo
226,Pedana,IN,82.58,overcast clouds,16.2667,81.1667,Sai Durga Hotel
230,Tual,ID,81.75,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
238,Mapiripan,CO,76.69,overcast clouds,2.8892,-72.1256,Monserrate
240,Kendari,ID,76.68,overcast clouds,-3.945,122.4989,Hotel Wixel
242,Porto Novo,BJ,82.22,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
243,Asosa,ET,71.06,moderate rain,10.0667,34.5333,Blendana Hotel Assosa
245,Mount Isa,AU,76.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
247,Banda Aceh,ID,80.1,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
251,Port-Gentil,GA,82.36,scattered clouds,-0.7193,8.7815,Fengshui Residence
256,Popondetta,PG,73.49,overcast clouds,-8.7537,148.2534,Timos Transit House
259,Chiang Klang,TH,75.76,few clouds,19.2938,100.8617,Sangthong Resort
264,Kahului,US,79.84,broken clouds,20.8947,-156.47,Maui Seaside Hotel
266,Manga,BF,83.32,light rain,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
267,Marsa Matruh,EG,82.6,scattered clouds,31.3525,27.2453,Beau Site
273,Sao Filipe,CV,78.04,broken clouds,14.8961,-24.4956,Hotel Xaguate
274,Karratha,AU,73.74,light rain,-20.7377,116.8463,ibis Styles Karratha
275,Camacha,PT,72.82,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
277,Dharchula,IN,71.22,moderate rain,29.85,80.5333,Mahara Hotel
280,Korla,CN,76.53,overcast clouds,41.7597,86.1469,Gulisitan Hotel
287,Bontang,ID,81.1,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
291,Kangaba,ML,75.22,overcast clouds,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
292,Akyab,MM,81.63,moderate rain,20.15,92.9,ဟိုတယ် မန်မိုရီ
296,Velingara,SN,74.7,light rain,13.15,-14.1167,Hotel Najla
298,Neiafu,TO,75.88,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
300,Souillac,MU,73.78,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
301,Praia Da Vitoria,PT,80.85,few clouds,38.7333,-27.0667,Hotel Branco I
306,Seoul,KR,80.2,clear sky,37.5683,126.9778,LOTTE HOTEL SEOUL
308,Guozhen,CN,72.82,overcast clouds,34.3659,107.359,Yucai Hotel
309,Kieta,PG,79.29,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
311,Azle,US,79.11,few clouds,32.8951,-97.5459,The Orchard Event Venue & Retreat - Wedding Venue
314,Kismayo,SO,79.47,broken clouds,-0.3582,42.5454,Agan-Hotel
316,Saint-Pierre,RE,76.68,broken clouds,-21.3393,55.4781,Alize Plage
321,Kiambu,KE,72.99,broken clouds,-1.1667,36.8333,Veranohomes at Edenville 2
322,Lamu,KE,82.62,overcast clouds,-2.2717,40.902,Lamu House
325,Sapulpa,US,78.04,clear sky,35.9987,-96.1142,Super 8 by Wyndham Sapulpa/Tulsa Area
331,Matamoros,MX,73.51,broken clouds,25.5333,-103.25,Quinta Belem
334,Bubaque,GW,79.48,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
336,Faanui,PF,78.4,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
340,Luwuk,ID,78.48,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
341,Dicabisagan,PH,78.67,light rain,17.0818,122.4157,Nancy Montanes Bernardo
344,Dingle,PH,77.05,very heavy rain,10.9995,122.6711,SEGAYA PROPERTY
346,Roma,US,72.66,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
350,Cordoba,AR,70.43,broken clouds,-31.4135,-64.1811,Hotel Sussex
352,Pochutla,MX,73.22,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
354,Mackay,AU,75.69,overcast clouds,-21.15,149.2,International Lodge Motel
355,Nanakuli,US,78.75,clear sky,21.3906,-158.1547,Camp Pālehua
357,Alofi,NU,73.29,clear sky,-19.0595,-169.9187,Taloa Heights
359,Da Nang,VN,78.78,scattered clouds,16.0678,108.2208,Grand Mercure Danang
360,Jilikul,TJ,81.59,clear sky,37.4917,68.5311,Mu vcjon Dursulton jud
366,Moussoro,TD,83.91,overcast clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
371,Tomakomai,JP,70.18,mist,42.6369,141.6033,Hotel Wing International Tomakomai
375,Tateyama,JP,80.1,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
378,Hobyo,SO,79.09,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
383,Bonthe,SL,74.71,light rain,7.5264,-12.505,Bonthe Holiday Village
384,Ribeira Grande,PT,79.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
387,Lishui,CN,72.48,clear sky,28.4604,119.9103,Bayi Hotel
388,Moerai,PF,73.71,scattered clouds,-22.4333,-151.3333,Le Manotel
394,Matara,LK,79.3,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
396,Saint-Joseph,RE,75.58,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
406,Mayo,US,72.99,clear sky,38.8876,-76.5119,Resorts Resource Group International
411,Tevaitoa,PF,77.61,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
412,Sayyan,YE,71.83,overcast clouds,15.1718,44.3244,متنزه و بحيرة سيان
418,Hot Springs,US,78.55,clear sky,34.5037,-93.0552,Embassy Suites by Hilton Hot Springs Hotel & Spa
420,Ponta Delgada,PT,79.52,few clouds,37.7333,-25.6667,Vila Nova Hotel
421,Hirara,JP,80.49,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
423,Manokwari,ID,78.58,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
425,Sibolga,ID,76.01,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
426,Roebourne,AU,73.85,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
