City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Ilhabela,BR,2022-09-10 22:33:20,-23.7781,-45.3581,67.77,93,98,6.6
124,Balkanabat,TM,2022-09-10 22:33:20,39.5108,54.3671,70.95,25,0,2.17
125,Jahazpur,IN,2022-09-10 22:33:21,25.6167,75.2833,80.42,74,2,3.58
126,Leningradskiy,RU,2022-09-10 22:29:16,69.3833,178.4167,39.24,84,79,11.48
127,Saint-Leu,RE,2022-09-10 22:33:21,-21.15,55.2833,70.32,71,41,2.08
128,Dudinka,RU,2022-09-10 22:33:22,69.4058,86.1778,36.63,98,100,8.1
129,Samarai,PG,2022-09-10 22:33:22,-10.6167,150.6667,80.15,83,18,9.78
130,Eshowe,ZA,2022-09-10 22:33:23,-28.8865,31.4699,60.78,85,2,3.15
131,Albany,US,2022-09-10 22:30:41,42.6001,-73.9662,78.58,71,79,2.57
132,Kendari,ID,2022-09-10 22:33:23,-3.945,122.4989,75.58,85,81,3.53
133,Fuxin,CN,2022-09-10 22:33:24,42.0156,121.6589,66.72,74,69,3.98
134,Pointe-Noire,CG,2022-09-10 22:33:24,-4.7761,11.8635,75.27,88,75,2.3
135,Boddam,GB,2022-09-10 22:33:25,57.4667,-1.7833,52.48,84,74,8.23
136,Faanui,PF,2022-09-10 22:33:25,-16.4833,-151.75,78.55,73,4,18.52
137,Daru,PG,2022-09-10 22:33:26,-9.0763,143.2092,80.42,84,76,12.35
138,Byron Bay,AU,2022-09-10 22:33:26,-28.65,153.6167,63.72,54,5,7.65
139,Port Elizabeth,ZA,2022-09-10 22:33:27,-33.918,25.5701,59.31,94,20,16.11
140,Busselton,AU,2022-09-10 22:33:27,-33.65,115.3333,50.7,90,7,2.84
141,Mar Del Plata,AR,2022-09-10 22:34:28,-38.0023,-57.5575,48.94,76,0,8.05
142,Haileybury,CA,2022-09-10 22:34:28,47.449,-79.6373,81.18,52,23,8.97
143,Tomatlan,MX,2022-09-10 22:34:28,19.9333,-105.25,81.9,88,100,6.91
144,Monrovia,LR,2022-09-10 22:30:22,6.3005,-10.7969,76.26,88,100,10.54
145,Amuntai,ID,2022-09-10 22:34:29,-2.4177,115.2494,72.63,97,98,1.59
146,Shimoda,JP,2022-09-10 22:34:30,34.6667,138.95,71.1,71,10,18.57
147,Fortuna,US,2022-09-10 22:34:30,40.5982,-124.1573,81.93,53,85,4.0
148,Mocuba,MZ,2022-09-10 22:34:30,-16.8392,36.9856,68.34,81,0,2.46
149,At-Bashi,KG,2022-09-10 22:34:31,41.1702,75.8106,54.27,35,56,1.14
150,Komsomolskiy,UZ,2022-09-10 22:34:31,40.4272,71.7189,79.52,25,68,9.22
151,New Norfolk,AU,2022-09-10 22:34:32,-42.7826,147.0587,51.3,82,99,1.01
152,Probolinggo,ID,2022-09-10 22:34:32,-7.7543,113.2159,76.5,82,99,5.26
